inchi_key	n_annotations	target_genes	annotated_moas	smiles
NSMRMZWAHUBRPG-UHFFFAOYSA-N	1	CDK1	CDK1 Inhibitors	NC(=O)CCNc1cc(-c2ccnc(Nc3cccc(Cl)c3)n2)ccn1
NSQNZEUFHPTJME-UHFFFAOYSA-N	1	SC5D	Cyclooxygenase-2 Inhibitors	NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1
NSSHPRGGTPKDER-RISCZKNCSA-N	1			
NTAVPKUNVZRIQP-ICSRJNTNSA-N	3	ACVR1B,TGFBR1,ACVR1	Activin Receptor Like Kinase 5 (ALK5 TbetaR-I) Inhibitors	Cc1cc(C)n(-c2cc(-c3cnc4ccc(N[C@H]5CCC[C@H](O)C5)cn34)ccn2)n1
NTCCRGGIJNDEAB-IRXDYDNUSA-N	1	ACE2	Angiotensin-I Converting Enzyme-Related Carboxypeptidase (ACE2) Inhibitors	CC(C)C[C@H](N[C@@H](Cc1cncn1Cc1cc(Cl)cc(Cl)c1)C(=O)O)C(=O)O
NTCCRGGIJNDEAB-SJORKVTESA-N	1	ACE2	angiotensin I converting enzyme 2 inhibitor	CC(C)C[C@@H](N[C@@H](Cc1cncn1Cc1cc(Cl)cc(Cl)c1)C(=O)O)C(=O)O
NTDFYGSSDDMNHI-UHFFFAOYSA-N	1	GLP1R	covalent positive allosteric modulator of GLP1R	CC[S+]([O-])c1nc(-c2cccc(OCc3ccccc3)c2)cc(C(F)(F)F)n1
NTHMDFGHOCNNOE-ZJUUUORDSA-N	1	MTAP	Methylthioadenosine Phosphorylase (MTAP) Inhibitors	CSC[C@H]1CN(Cc2c[nH]c3c(N)ncnc23)C[C@@H]1O
NTINAJCDYRYMML-UHFFFAOYSA-N	5	CES1,CES1P1,CES2,CES3,CES5A	Carboxylesterase Inhibitors	COc1ccc(C(=O)C(=O)c2ccccc2)cc1
NTPLIHVIDFWRGV-UHFFFAOYSA-N	1	MAPK14	p38alpha MAPK Inhibitors	CN1CCC(O)(c2cn(-c3ccnc(NC4CCCC4)n3)c(-c3cccc(C(F)(F)F)c3)n2)CC1
NTXBDULODNTCKP-UHFFFAOYSA-N	4	TRPC3,TRPC6	TRPC3 Antagonists,TRPC6 Antagonists	COc1ccc(Nc2nc(C(=O)N3CCc4ccccc4C3)cs2)cc1
NTYJJOPFIAHURM-UHFFFAOYSA-N	6	NOX1,NOX3,NOX4	Histamine Receptor Agonists,NADPH Oxidase Inhibitors	NCCc1cnc[nH]1
NUPGBBOOIBGQDL-UHFFFAOYSA-N	1	PDE11A	Phosphodiesterase PDE11A Inhibitors	Cc1cc(-c2ccccc2)nc2cc(C(=O)Nc3cccc(O)c3)nn12
NUTDKFGHUBYHFK-UHFFFAOYSA-N	1	PIK3CG	Phosphatidylinositol 3-Kinase gamma (PI3Kgamma) Inhibitors	CC(=O)Nc1nc(C)c(-c2csc(Nc3cccnc3)n2)s1
NUUSUAWULNXMGF-UHFFFAOYSA-N	1	EIF2AK1	Eukaryotic Translation Initiation Factor 2-alpha Kinase 1 (HRI) Activators	O=C(Nc1ccc(Cl)c(Cl)c1)Nc1ccc2nnsc2c1
NVAHQQYCEWEDKM-UHFFFAOYSA-N	1	CTSS	Cathepsin S Inhibitors	Cn1c(=O)n(C2CCN(CCCn3nc(-c4ccc(C(F)(F)F)cc4)c4c3CCN(S(C)(=O)=O)C4)CC2)c2cc(Cl)ccc21
NVNSXBXKNMWKEJ-UHFFFAOYSA-N	1	HTRA2	Omi/HtrA2 Inhibitor	O=C1C(=Cc2ccc(-c3ccccc3[N+](=O)[O-])o2)C(=O)N(c2ccccc2)C(=S)N1c1ccccc1
NVOWFSVQTZTXSO-UHFFFAOYSA-N	1	NR4A2	Nurr1 Receptor Activators	O=C(O)c1cccc(-c2nc(-c3ccc(Cl)cc3)no2)c1
NVYPANNIKFKQTB-UHFFFAOYSA-N	1	HTR3A	5-HT3 Antagonists	CN1C2CC(OC(=O)c3c[nH]c4ccccc34)CC1C1OC12
NVYQUIXKTUPQLY-VIFPVBQESA-N	1			CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)Nc1nnc(S)s1
NWBJAUFHPXRBKI-QMMMGPOBSA-N	8	NOS2,IMPA1	Signal Transduction Modulators,Nitric Oxide Synthase Inhibitors,Inositol Monophosphatase Inhibitors,Inducible Nitric Oxide Synthase (NOS-2) Inhibitors	CC(=N)NCCSC[C@](C)(N)C(=O)O
NXCSEAQOKPSNJV-UHFFFAOYSA-N	1	NR1D1	REV-ERB agonist	Cc1cc(Cl)ccc1CN(Cc1ccc(Cl)cc1)Cc1ccc([N+](=O)[O-])s1
NXFFJDQHYLNEJK-CYBMUJFWSA-N	1	PTGDR	Prostanoid DP (DP1) Antagonists	CS(=O)(=O)c1cc(F)cc2c3c(n(Cc4ccc(Cl)cc4)c12)[C@@H](CC(=O)O)CC3
NXFIEIXVSJMOQL-UHFFFAOYSA-N	1	TRPA1	TRPA1 antagonist	Cc1cc2[nH]ncc2cc1-c1ccccc1C(F)(F)F
NXNGLEYSIAXGCL-UHFFFAOYSA-N	2	CCND3,CCND2	CDK Inhibitors	CNc1nc(SC)ncc1CO
NYAKHMNXWJGORW-UHFFFAOYSA-N	1	PRMT3	Allosteric PRMT3 inhibitor	NCC1(CCNC(=O)Nc2ccc3cnccc3c2)CCCCC1
NYBZCKAQIIPSDS-UHFFFAOYSA-N	1			COc1ccc(-c2c(C)nn3c(C(F)(F)F)cc(C)nc23)c(F)c1F
NYDXWCQDYMSMIW-UHFFFAOYSA-N	4	KDM4B,KDM4C	KDM4B/C,Histone demethylation inhibitors	
NYJGMJFBEVSQNN-CNRHASOASA-N	1	AKT1	Protein Kinase B (PKB/Akt) Inhibitors	C[C@H]1O[C@@H]2CC(=O)O[C@@H]2C2=C1C(=O)c1c(ccc([C@H]3C[C@@H](N(C)C)[C@H](O)[C@@H](C)O3)c1O)C2=O
NYQXVKFKGJZIOC-UHFFFAOYSA-N	9	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRG1,GABRG2,GABRG3	GABA(A) BZ Site Receptor Antagonists	Oc1nc2ccc(Cl)cc2c2nc(-c3ccccc3F)nn12
NYXDSXZBPWSAFA-UHFFFAOYSA-N	1	HSP90B1	Heat Shock Protein 90 (hsp90) Inhibitors	O=S(=O)(Nc1ccc(O)c(-c2c(O)ccc3ccccc23)c1)c1cccs1
NZCRJKRKKOLAOJ-XRCRFVBUSA-N	1	NR1I2	Inhibitor of transcription by by binding to the β-subunit of bacterial RNA polymerase, also activator of NR1I2	CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
NZHGWWWHIYHZNX-CSKARUKUSA-N	32	HEXB,SLC22A12,TRPV2,IDO1	Urate Transporter 1 (URAT1) Inhibitors,IFN-gamma Production Inhibitors,TNF-alpha Production Inhibitors,Signal Transduction Modulators,Indoleamine 2,3-dioxygenase Activators,IL-4 Modulators,IL-2 Production Inhibitors,IL-10 Production Enhancers	COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC
NZLDBNPKNBCGEN-UHFFFAOYSA-N	2	ALOX5	Antiinflammatory Drugs,Lipoxygenase Inhibitors	c1ccc2nc(COc3cccc4ccccc34)ccc2c1
NZOONKHCNQFYCI-UHFFFAOYSA-N	1			
NZRBRJQYGLEINZ-UHFFFAOYSA-N	1	BIRC5	Survivin Dimerization Inhibitors	N#Cc1c(-c2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)cc(-c2cc(Cl)ccc2O)[nH]c1=O
OAGYIOQZUSMRQV-UHFFFAOYSA-N	8	MAPK13,ADORA3	TNF-alpha Production Inhibitors,p38 MAPK Inhibitors,Adenosine A3 Antagonists,Inhibitors of Signal Transduction Pathways	CC(=O)Nc1nc(-c2cccc(C)c2)c(-c2ccncc2)s1
OAIGRGDPMHLUJB-UHFFFAOYSA-N	1			CC1(OC(=O)N2CCC(COc3ccc(N4CCN(S(C)(=O)=O)CC4)nc3)CC2)CC1
OAIJSZIZWZSQBC-GYZMGTAESA-N	1			
OAVGBZOFDPFGPJ-UHFFFAOYSA-N	30	PRKCA,PRKCD,PRKCE,PRKCQ,PRKCB,CD28	Protein Kinase PKC epsilon Inhibitors,Protein Kinase PKC alpha Inhibitors,Protein Kinase PKC delta Inhibitors,Protein Kinase PKC theta Inhibitors,Protein Kinase PKC beta Inhibitors	CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1
OAVYVUXOTKQIRA-FUFSCUOVSA-N	1	CXCR3	CXCR3 antagonist	CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C(=O)Nc2ccc(-c3ccccc3)cc2)C1
OBKXEAXTFZPCHS-UHFFFAOYSA-N	2	HDAC3	Histone Deacetylase (HDAC) Inhibitors,Apoptosis Inducers	O=C(O)CCCc1ccccc1
OBTSACXGWYGCPK-UHFFFAOYSA-N	1	FZD4	frizzled-4 anatagonist	O=C(Nc1cc(O)cc(-c2cccs2)c1)Nc1ccc2ccccc2c1
OBWGMKKHCLHVIE-UHFFFAOYSA-N	4	HTR2A,DRD2	5-HT2A Antagonists,Dopamine D2 Antagonists	CN1CCN(C2=Nc3cc(F)ccc3Cc3ccccc32)CC1
OBWOHJWFRIKFRD-UHFFFAOYSA-N	1	AHR	Aryl hydrocarbon receptor modulator	C=CCn1nc(-c2ccc(OC)c(OC)c2)c2cccc(C(F)(F)F)c21
OBZCWUUQSDVACZ-UHFFFAOYSA-N	1	SCD	SCD gene inhibitor	Cc1cc(NC(=O)c2ccc3c(c2)CCNC3)nn1Cc1cc(Cl)ccc1OCC1CC1
OCBMECSFDVUYQN-ROUUACIJSA-N	2	GCK	Glucose Lowering Agents,Glucokinase Activators	COC[C@H](C)Oc1cc(O[C@@H](C)Cc2ccccc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1
OCJYIGYOJCODJL-UHFFFAOYSA-N	2	PCYT2,NR1I3	PCYT2 inhibitor	Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1
OCQPKQVXUZWWQU-UHFFFAOYSA-N	4	PIK3CA,PIK3CB,PIK3CD,MTOR	dual mTOR PI3K inhibitor	COc1ncc(-c2ccc3ncc4c(c3c2)n(-c2cn(C(C)C)nc2C)c(=O)n4C)c(OC)n1
ODCKPUDNMNCWMR-UHFFFAOYSA-N	15	PDE1A,PDE1C,PDE3A,PDE3B,PDE4C,PDE6A,PDE6B,PDE6C,PDE6D,PDE6G,PDE6H,PDCD1,PDE8A,PDE8B,PDE9A	Phosphodiesterase III Inhibitors	Cc1ccc2[nH]c3nc(O)nc-3cc2c1C
ODEYARCPHPFZOJ-KFWWJZLASA-N	1	PDF	Peptide Deformylase (PDF) Inhibitors	O=CN(O)C[C@@H](CC1CCC1)C(=O)N1C[C@H](F)C[C@H]1C(=O)Nc1cccn[n+]1[O-]
ODKNJVUHOIMIIZ-RRKCRQDMSA-N	1	TYMS	Pyrimidine Antagonists	O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
ODPGGGTTYSGTGO-UHFFFAOYSA-N	12	MAPK10,MAPK14,MAPK8,PDGFRB,FLT3,KIT	Inhibitors of Signal Transduction Pathways,Flt3 (FLK2/STK1) Inhibitors	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1
ODQWQRRAPPTVAG-BOPFTXTBSA-N	8	HRH1,HRH2	Histamine H1 Receptor Antagonists,Norepinephrine Reuptake Inhibitors,5-HT Reuptake Inhibitors,Histamine H2 Receptor Antagonists	CN(C)CC/C=C1/c2ccccc2COc2ccccc21
ODUOJXZPIYUATO-UHFFFAOYSA-N	1	MME	Neprilysin (Enkephalinase, Neutral Endopeptidase, NEP) Inhibitors	CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1
ODXQFEWQSHNQNI-UHFFFAOYSA-N	1	SERPINE1	Plasminogen Activator Inhibitor (PAI-1) Inhibitors	O=C(O)C(=O)c1cn(Cc2ccccc2)c2ccc(-c3ccc(OC(F)(F)F)cc3)cc12
ODZBBRURCPAEIQ-PIXDULNESA-N	2	HSPB1	Reverse Transcriptase Inhibitors,Heat Shock Protein 27 (hsp27) Inhibitors	O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br
OEBPANQZQGQPHF-UHFFFAOYSA-N	2	KCNH2	K(V)11.1 (erg1) Channel Blockers,Potassium Channel Blockers	Cn1c(NCCN(CCO)CCCc2ccc([N+](=O)[O-])cc2)cc(=O)n(C)c1=O
OEDGERSSZUMLBI-UHFFFAOYSA-N	1	TNNI3K	Tnni3 kinase inhibitor	CCS(=O)(=O)c1ccc(S(=O)(=O)NC)cc1Nc1cc(Nc2ccc(Cl)cn2)ncn1
OEDSFMUSNZDJFD-UHFFFAOYSA-N	3	BRD4,BRD2,BRD3	BET inhibitor BD2 selective	CCNC(=O)c1cc2c(-c3cc(C(C)(C)O)ccc3Oc3c(C)cc(F)cc3C)cn(C)c(=O)c2[nH]1
OELFLUMRDSZNSF-BRWVUGGUSA-N	4	ABCC8,KCNJ11	Insulin Secretagogues,K(ir) 6.2/SUR1 Blockers	CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1
OESNKOKTKJVMIR-WSBQPABSSA-N	2	SRD5A1,SRD5A2	Steroid 5alpha-Reductase Inhibitors	CC(C)(C#N)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
OEXMNSOPAKOPEF-UHFFFAOYSA-N	1			
OEYYOVRNPJSWTO-IBGZPJMESA-N	1	GLP1R	GLP-1 receptor agonist	CC(C)N1CCC[C@H]1CNC(=O)c1cn(C2CCCC2)c(=O)c2c1c1ccccc1n2C
OEZAIJNKVSSLFH-QZHFEQFPSA-N	1	GPR88	GPR88 agonist	CC[C@H](C)COc1ccc([C@H](CO)NC(=O)[C@H]2C[C@@H]2c2cccs2)cc1
OFBIFZUFASYYRE-UHFFFAOYSA-N	16	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ	GABA(A) BZ Site Receptor Antagonists	CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
OFEZSBMBBKLLBJ-BAJZRUMYSA-N	5	PAPOLA,POLG,POLB,POLA2,POLA1	PAPOLA gene inhibitor	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C[C@H]1O
OFGZKSUTEKHHAS-UHFFFAOYSA-N	1	SSTR5	Somatostatin SRIF1B (sst5) Antagonists	CCOc1cc(CN2CCC(Nc3nc4cc(S(N)(=O)=O)ccc4o3)CC2)cc(OCC)c1N
OFHXXBRBGWUOHR-NYYWCZLTSA-N	1	GPR183	GPR183 antagonist	COc1ccc(C(=O)N2CCN(C(=O)/C=C/c3ccc(Br)cc3)CC2)cc1
OFQCVYOFPPDYDD-XIFFEERXSA-N	1	AVPR1A	Vasopressin (AVP) V1a Antagonists	CN(C)CCNC(=O)C1=C[C@@]2(CC1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3F)cc1)c1ccccc1C2
OFVLGDICTFRJMM-WESIUVDSSA-N	6	PRNP,PADI6	Protein Arginine Deiminase Inhibitors,30S Ribosomal Protein Inhibitors,Antibiotic	CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
OFWGHMAISKOSQV-UHFFFAOYSA-N	1	PDE7A	PDE7A gene inhibitor	O=C1Nc2c(Cl)cc(-c3ccccc3)cc2C2(CCCCC2)N1
OFWWWKWUCDUISA-UHFFFAOYSA-N	5	TAF1,BRD1,TAF1L	Bromodomain inhibitor	Cc1cc2c(cc1N1C(=O)c3cccc4c(CCCO)ccc(c34)C1=O)n(C)c(=O)n2C
OFYVIGTWSQPCLF-UHFFFAOYSA-N	6	SLC6A4,SLC6A2	Serotonin Transporter (SERT) Inhibitors,Norepinephrine Transporter (NET) Inhibitors,NMDA Antagonists	Cc1ccc(C23CNCC2C3)cc1
OFZJKCQENFPZBH-UHFFFAOYSA-N	2	MPL	Thrombopoietin Receptor (TpoR) Agonists,Signal Transduction Modulators	O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1
OGAKLTJNUQRZJU-UHFFFAOYSA-N	9	CHRM4,CHRM1,CHRM3	Muscarinic M4 Receptor Ligands,Muscarinic M3 Receptor Ligands,Muscarinic M1 Receptor Ligands	OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1
OGHNVEJMJSYVRP-UHFFFAOYSA-N	1	ADRB1	beta1-Adrenoceptor Antagonists	COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
OGQICQVSFDPSEI-UHFFFAOYSA-N	9	RARG,ODC1,RARB	Retinoid RARbeta Agonists,Ornithine Decarboxylase Inhibitors,Retinoid RARgamma Agonists	CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1
OGSPWJRAVKPPFI-UHFFFAOYSA-N	4	FDFT1,FDPS	Farnesyl Pyrophosphate Synthase Inhibitors,Protein Tyrosine Phosphatase (PTP) Inhibitors	NCCCC(O)(P(=O)(O)O)P(=O)(O)O
OHAXNCGNVGGWSO-UHFFFAOYSA-N	1	CREB1	Cyclic AMP Response Element-Binding Protein (CREB) Inhibitors	O=C(Nc1ccc(Cl)cc1)c1cc2ccccc2cc1O
OHCQJHSOBUTRHG-KGGHGJDLSA-N	7	ADCYAP1,ADCY8,ADCY2,ADCY1,ADCY6,ADCY4,ADCY3	Adenylate Cyclase Activators	C=C[C@@]1(C)CC(=O)[C@@]2(O)[C@](C)(O1)[C@@H](OC(C)=O)[C@@H](O)[C@H]1C(C)(C)CC[C@H](O)[C@@]12C
OHFLESATPONDTK-UHFFFAOYSA-N	1	PNP	Purine-Nucleoside Phosphorylase Inhibitors	N#CCC(c1cccc(Cl)c1)c1c[nH]c2c(=O)[nH]c(N)nc12
OHNPMEHVPMTGTH-UHFFFAOYSA-N	1	SCN9A	Nav1.7 ( PN1/hNE-Na) Sodium Channel Blockers	Cc1cccc(C)c1-c1noc(C)c1NC(=O)OCc1c(F)cccc1Cl
OHOZGQXXXVZLBJ-NBOCEFNVSA-N	1	DHCR24	Cholesterol Biosynthesis Inhibitors; Delta(24)-Sterol Reductase (DHCR24) Inhibitors	C[C@H](CO)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
OHUZYICHQJQNNX-UHFFFAOYSA-N	1	HCRT	Orexin 1 receptor antagonist	CN(C)c1ccc(NC(=O)Nc2ccnc3cccnc23)cc1
OHVGZODROPSVRZ-UHFFFAOYSA-N	1	EED	EED gene inhibitor	COc1cccc(F)c1CNc1ccc(-c2cnc(C)nc2C)c2nncn12
OIGHTPDWPMLMGT-UHFFFAOYSA-N	2	HTR2C	5-HT2C Agonists,HTR2C agonist	c1cc2c3c(c1)c1c(n3CCNC2)CCCC1
OILHAXASEUKARN-UHFFFAOYSA-N	1	GPR119	Glucose-Dependent Insulinotropic Receptor (GDIR, GPR119) Ligands	CC1(OC(=O)N2CCC(COc3cnc(N4CCN(S(=O)(=O)CCCN5CCC5)CC4=O)cn3)CC2)CC1
OINGHOPGNMYCAB-INIZCTEOSA-N	1	PAK1	PAK1 inhibitor	CC(C)NC(=O)N1CC[C@H](NC2=Nc3cc(F)ccc3N(CC(F)F)c3ccc(Cl)cc32)C1
OIRDTQYFTABQOQ-KQYNXXCUSA-N	4	ADORA1,ADORA2B,ADORA3,ADORA2A	Adenosine Receptor Agonists	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
OIXABFWKYOZLGQ-QGZVFWFLSA-N	1	KDM2A	KDM2A inhibitor	COC(=O)c1ccnc(-c2cn([C@@H]3CCCN(C(=O)c4ccccc4)C3)nn2)c1
OJCKRNPLOZHAOU-MNKIFKDHSA-N	3	TARS1	Translation inhibitor,TARS inhibitor,angiogenesis inhibitor	C[C@@H]1C[C@H](C)[C@@H](O)CC(=O)O[C@H]([C@@H]2CCC[C@H]2C(=O)O)C/C=C\C=C(/C#N)[C@H](O)[C@@H](C)C[C@H](C)C1
OJHLJXROBUJUPQ-UHFFFAOYSA-N	2	NUDT1	NUDT1 inhibitor,NUDT1 Inhibitor	CNc1nc2nc3c1[nH]c(=O)n3Cc1cccc(c1)OCCOCCO2
OJHMDRZMENMQFP-UHFFFAOYSA-N	2	UCHL1	Ubiquitin C-terminal Hydrolase L1 (UCH-L1) Inhibitors,Inhibitor of Mitogen-activated protein kinase kinase kinase kinase 4 (MAP4K4)	Nc1c(C(=O)c2ccccc2)sc2[nH]c(=O)c(C(=O)O)cc12
OJLOPKGSLYJEMD-ZRDIBKRKSA-N	9	PTGER2,PTGER3,PTGER4	PTGER4 agonist,PTGER3 agonist,PTGER2 agonist	CCCCC(C)(O)C/C=C/C1C(O)CC(=O)C1CCCCCCC(=O)OC
OJPLJFIFUQPSJR-INIZCTEOSA-N	2	PSEN1	Drugs Acting on Notch Receptors,gamma-Secretase Inhibitors	CC(C)(C(=O)NCC(F)(F)C(F)(F)F)C(=O)N[C@@H]1C(=O)Nc2ccccc2-c2ccccc21
OJQMKCBWYCWFPU-UHFFFAOYSA-N	2	PTGIR	PTGIR agonist,Prostacyclin agonist	CC(C)N(CCCCOCC(=O)O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1
OKJDLRMQHZRYOZ-UHFFFAOYSA-N	2	TDP1,TOP1	Dual Top1, TDP1 inhibitors	NCCCn1c2c(c3ccc([N+](=O)[O-])cc3c1=O)C(=O)c1ccc(O)cc1-2
OKPNYGAWTYOBFZ-UHFFFAOYSA-N	1			
OKSSCZFPRININV-UHFFFAOYSA-N	2	CD28,PRKCQ	pan-PKC inhibitor	Cn1cc(C2=C(c3nc(N4CCNC5(CC5)C4)cc4ccccc34)C(=O)NC2=O)c2ccccc21
OKVCTOBWIAGOMR-ACCUITESSA-N	10	NOS2,TYR	TNF-alpha Production Inhibitors,Antioxidants,IL-1 Inhibitors,Tyrosinase Inhibitors,Inducible Nitric Oxide Synthase (NOS-2) Inhibitors	COc1cc(/C=C/C(=O)CCCCc2ccccc2)ccc1O
OLHQOJYVQUNWPL-UHFFFAOYSA-N	1	HRH2	HRH2 agonist	CN(C)CCCSC(=N)N
OLIIUAHHAZEXEX-AWEZNQCLSA-N	3	ROCK2	ROCKalpha) Inhibitors,Rho Kinase 2 (ROCK 2,	
OLIKCJUMYWSDIV-UHFFFAOYSA-N	2	CHRM2,THRA	Antithyroid Drugs	Cc1oc2ccccc2c1Cc1cc(I)c(OCC(=O)O)c(I)c1
OLNTVTPDXPETLC-XPWALMASSA-N	2	NPC1L1	Cholesterol Absorption Inhibitors,Niemann-Pick C1-like protein 1 (NPC1L1) Inhibitors	O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1
OLPSAOWBSPXZEA-JIEICEMKSA-N	1	ESR2	Estrogen Receptor (ER) beta Ligands	C[C@]12CC[C@H]3[C@@H]([C@H](O)C=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O
OLTZHXYLLRJLST-UHFFFAOYSA-N	1			Cc1ccc(C(=O)Cn2c3c(sc2=N)CCCC3)cc1
OLWWIAFRNOFHTL-UHFFFAOYSA-N	2	MAPK14	p38 MAPK Inhibitors,TNF-alpha Release Inhibitors	CN1CCC(O)(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)o2)CC1
OMHZFEWYVFWVLI-UHFFFAOYSA-N	3	RING1,RNF2,BMI1	Ubiquitin Protein Ligase E3 Inhibitors	O=C1C(=Cc2cccnc2)C(=O)c2ccccc21
OMJHHTRDBKAMSN-LLVKDONJSA-N	1	PTPN11	SHP2 allosteric inhibitor	Nc1nc(N2CCC3(CC2)COC[C@H]3N)cnc1Sc1ccnc(N)c1Cl
OMKBGTGZWMRDAZ-OAQYLSRUSA-N	1	MMP13	MMP-13 (Collagenase 3) Inhibitors	CN(C)c1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(=O)O)C3CCN(C(=O)OC(C)(C)C)CC3)s2)cc1
OMOMUFTZPTXCHP-UHFFFAOYSA-N	2	ACADSB,ALDH5A1	GABAergic Transmission Enhancers	
OMTNUGOQXBZIDL-UHFFFAOYSA-N	1	FFAR4	G Protein-Coupled Receptor GPR120 Agonists	O=C(O)c1ccc2cc(NCc3nc(-c4ccccc4Cl)cs3)ccc2c1
ONBSHRSJOPSEGS-INIZCTEOSA-N	2	EPAS1	HIF2a / Hif-2 alpha inhibitor (gene: EPAS1),HIF2A inhibitor (HIF-2 alpha inhibitor)	CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2
ONDYALNGTUAJDX-UHFFFAOYSA-N	4	HDAC4,S100A9	Histone Deacetylase 4 (HDAC4) Inhibitors,S100A9 Inhibitors	COc1cccc2c1c(O)c(C(=O)N(C)c1ccc(C(F)(F)F)cc1)c(=O)n2C
ONNGKMAEIWXVBI-UHFFFAOYSA-N	1	ADRB2	beta2-Adrenoceptor Agonists	O=c1[nH]c2c(O)ccc(C(O)CNCCc3ccc(OCCCCc4ccccc4)cc3)c2s1
ONYFNWIHJBLQKE-ZETCQYMHSA-N	1	NOS2	Inducible Nitric Oxide Synthase (NOS-2) Inhibitors	C/C(N)=N\CCCC[C@H](N)C(=O)O
OODPPJDFRMJIDK-UHFFFAOYSA-N	1	KDR	VEGFR-2 (FLK-1/KDR) Inhibitors	Nc1nccc(Oc2ccc3c(C(=O)Nc4ccc(F)c(C(F)(F)F)c4)cccc3c2)n1
OOGJQPCLVADCPB-HXUWFJFHSA-N	3	CHRM4,CHRM3,CHRM5	Muscarinic M3 Antagonists	Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1
OONFNUWBHFSNBT-HXUWFJFHSA-N	12	ERBB2,EGFR	VEGFR-2 (FLK-1/KDR) Inhibitors,Inhibitors of Signal Transduction Pathways,HER2 (erbB2) Inhibitors,erbB1) Inhibitors,EGFR (HER1,Angiogenesis Inhibitors	CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1
OOPCWGWDZXXLFV-RVDMUPIBSA-N	1	LTB4R2	Leukotriene BLT (LTB4) Antagonists	CCN(CC)C(=O)/C=C(\C)c1ccc(OCc2c(F)cccc2F)c(OCC(=O)O)c1
OOUGLTULBSNHNF-UHFFFAOYSA-N	3	CFTR	modulator of translational readthrough,Nonsense Mutation Suppressors,Putative translational readthrough (TRT) molecule	O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1
OOWCDRLEANCOSL-UHFFFAOYSA-N	1	CCR9	CCR9 antagonist	CC(C)(C)c1ccc(S(=O)(=O)n2ccc3cc(C#N)ccc32)cc1
